iter	Passed	Remaining
0	5	5362
1	9	4637
2	12	4068
3	16	4184
4	23	4605
5	25	4241
6	29	4186
7	33	4141
8	38	4186
9	43	4259
10	47	4232
11	51	4204
12	56	4274
13	60	4254
14	64	4222
15	70	4354
16	75	4354
17	79	4312
18	82	4281
19	88	4358
20	92	4330
21	97	4314
22	102	4349
23	106	4313
24	110	4290
25	113	4258
26	118	4282
27	122	4265
28	126	4250
29	131	4238
30	137	4283
31	141	4272
32	145	4274
33	151	4294
34	155	4274
35	159	4259
36	163	4244
37	168	4264
38	172	4249
39	176	4226
40	180	4213
41	185	4231
42	189	4224
43	193	4205
44	198	4218
45	202	4210
46	207	4204
47	211	4196
48	216	4209
49	221	4199
50	225	4186
51	229	4187
52	234	4186
53	238	4177
54	242	4168
55	247	4179
56	252	4174
57	256	4162
58	260	4149
59	265	4156
60	269	4145
61	272	4126
62	277	4130
63	281	4123
64	285	4108
65	289	4096
66	294	4104
67	298	4097
68	302	4084
69	306	4071
70	311	4070
71	315	4065
72	319	4055
73	323	4048
74	328	4054
75	332	4044
76	336	4030
77	339	4018
78	344	4020
79	349	4019
80	353	4007
81	357	3997
82	361	3989
83	364	3978
84	368	3968
85	372	3956
86	377	3957
87	381	3956
88	386	3954
89	390	3953
90	394	3943
91	398	3932
92	401	3920
93	406	3921
94	410	3910
95	414	3899
96	417	3891
97	423	3897
98	427	3887
99	430	3875
100	434	3865
101	439	3865
102	443	3862
103	447	3853
104	450	3843
105	456	3849
106	460	3840
107	463	3831
108	467	3822
109	472	3825
110	476	3817
111	480	3809
112	484	3800
113	488	3794
114	491	3785
115	496	3781
116	500	3780
117	504	3772
118	508	3762
119	512	3756
120	515	3747
121	519	3740
122	523	3735
123	528	3730
124	532	3727
125	536	3722
126	540	3714
127	544	3706
128	548	3704
129	552	3699
130	556	3692
131	560	3684
132	564	3682
133	568	3675
134	572	3667
135	575	3659
136	580	3657
137	584	3652
138	588	3646
139	592	3638
140	596	3635
141	600	3628
142	604	3624
143	608	3619
144	613	3618
145	617	3612
146	621	3605
147	624	3597
148	629	3595
